Site,Sample_code,Sample_lost,Date_collected,Time_collected,Sampling_direction,Wind_direction,Sampling_side,Sampling_notes,Cooler_temp_C,Time_fozen,Thaw_start_date,Thaw_start_time,Thaw_end_date,Thaw_end_time,Thaw_location,Date_filtered,Filtration_start,Filtration_finish,Speed_qualitative,Funnel_type,Number_filters,Replicate_taken,Number_filters_replicate,Voucher_taken,Water_colour,Filtration_notes
Nyamahri,NYA_3A_XS,,July_1,8:48,N_S,None,E,,,NA,NA,NA,NA,NA,NA,July_1,,,,,1,N,NA,Y,,15mL only
Nyamahri,NYA_3B,,July_1,8:51,N_S,None,E,,,NA,NA,NA,NA,NA,NA,July_1,13:57,14:15,Fast,Polysulfone,2,Y,2,Y,Cloudy grey,
Nyamahri,NYA_3B_S,,July_1,8:51,N_S,None,E,,,NA,NA,NA,NA,NA,NA,July_1,,,,,1,N,NA,Y,,50mL only
Nyamahri,NYA_3B_XS,,July_1,8:51,N_S,None,E,,,NA,NA,NA,NA,NA,NA,July_1,,,,,1,N,NA,Y,,15mL only
Witpens,WIT_3A,,July_1,9:28,N_S,N_S,E,Scum at south end; smells worse than usual today,,NA,NA,NA,NA,NA,NA,July_1,13:55,14:17,Medium,Polysulfone,2,Y,2,Y,Light green,
Witpens,WIT_3B,,July_1,9:31,N_S,N_S,E,Scum at south end; smells worse than usual today,,NA,NA,NA,NA,NA,NA,July_1,15:19,,Medium,Polysulfone,2,Y,2,Y,Light green,
Girivana,GIR_2A,,July_1,11:05,N_S,N_S,W,"Water level half; camera was broken - Martin the guard found human spoor and thinks it was broken on purpose - camera was not reset. Spoor: impala zebra, warthog",,NA,NA,NA,NA,NA,NA,July_1,19:06,19:25,Fast,Polysulfone,2,Y,2,Y,Cloudy grey-brown,
Girivana,GIR_2B,,July_1,11:10,N_S,N_S,W,"Water level half; camera was broken - Martin the guard found human spoor and thinks it was broken on purpose - camera was not reset. Spoor: impala zebra, warthog",,NA,NA,NA,NA,NA,NA,July_1,19:54,,,,2,Y,2,Y,Cloudy grey-brown,
Nwaswitshaka,NWA_5A,,July_1,13:43,N_S,N_S,W,Scum at south end,,NA,NA,NA,NA,NA,NA,July_1,19:07,20:12,,,2,Y,2,Y,Clear with green tinge,
Nwaswitshaka,NWA_5B,,July_1,13:50,N_S,N_S,W,Scum at south end,,NA,NA,NA,NA,NA,NA,July_1,19:08,20:12,,,2,Y,2,Y,Clear with green tinge,
Nwaswitshaka,NWA_6A,,July_2,10:38,N_S,S_N,W,Scum at North end; macrophyte seems to be growing,,NA,NA,NA,NA,NA,NA,July_2,11:49,12:25,Medium,Polysulfone,2,Y,2,Y,Clear with green tinge,Live macroinverts in the 1L sample including mosquitoe larvae
Nwaswitshaka,NWA_6B,,July_2,10:41,N_S,S_N,W,Scum at North end; macrophyte seems to be growing,,NA,NA,NA,NA,NA,NA,July_2,11:52,12:30,Medium,Polysulfone,2,Y,2,Y,Clear with green tinge,Live macroinverts in the 1L sample
De Laporte,DLP_7A,,July_3,8:04,N_S,None,W,Water below half full - some extra sediment in collection bottles - giraffe at hole directly before sampling did not drink,,NA,NA,NA,NA,NA,NA,July_3,10:48,11:20,Medium,Glass,1,Y,1,Y,Clear with 50mL of sediment or so,Filters had plant debris on them
De Laporte,DLP_7A_S,,July_3,8:04,N_S,None,W,Water below half full - some extra sediment in collection bottles - giraffe at hole directly before sampling did not drink,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
De Laporte,DLP_7A_XS,,July_3,8:04,N_S,None,W,Water below half full - some extra sediment in collection bottles - giraffe at hole directly before sampling did not drink,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
De Laporte,DLP_7B,,July_3,8:04,N_S,None,W,Water below half full - some extra sediment in collection bottles - giraffe at hole directly before sampling did not drink,,NA,NA,NA,NA,NA,NA,July_3,12:58,12:25,,Glass,1,Y,1,Y,,
De Laporte,DLP_7B_S,,July_3,8:04,N_S,None,W,Water below half full - some extra sediment in collection bottles - giraffe at hole directly before sampling did not drink,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
De Laporte,DLP_7B_XS,,July_3,8:04,N_S,None,W,Water below half full - some extra sediment in collection bottles - giraffe at hole directly before sampling did not drink,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
Nwaswitshaka,NWA_7A,,July_3,9:46,N_S,None,W,Debris evenly dispersed,,NA,NA,NA,NA,NA,NA,July_3,10:44,11:40,Medium,Polysulfone,2,Y,2,Y,,
Nwaswitshaka,NWA_7A_S,,July_3,9:46,N_S,None,W,Debris evenly dispersed,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
Nwaswitshaka,NWA_7A_XS,,July_3,9:46,N_S,None,W,Debris evenly dispersed,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
Nwaswitshaka,NWA_7B,,July_3,9:50,N_S,None,W,Debris evenly dispersed,,NA,NA,NA,NA,NA,NA,July_3,10:43,11:40,Medium,Polysulfone,2,Y,2,Y,,
Nwaswitshaka,NWA_7B_S,,July_3,9:50,N_S,None,W,Debris evenly dispersed,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
Nwaswitshaka,NWA_7B_XS,,July_3,9:50,N_S,None,W,Debris evenly dispersed,,NA,NA,NA,NA,NA,NA,July_3,,,,,1,N,NA,,,
BLANK,BLANK_3,,July_3,14:52,,,,,,,,,,,,,14:52,14:52,Very fast,Polysulfone,1,Y,1,N,,
Imbali,IMB_4A,,July_6,8:09,W_E,None,NA,,,NA,NA,NA,NA,NA,NA,July_6,14:36,14:43,Very fast,Polysulfone,1,Y,1,Y,Clear,
Imbali,IMB_4B,,July_6,8:11,W_E,None,NA,,,NA,NA,NA,NA,NA,NA,July_6,15:10,15:17,Very fast,Polysulfone,1,Y,1,Y,Clear,
Hoyo Hoyo,HOY_4A,,July_6,8:50,NW_SE,None,NA,,,NA,NA,NA,NA,NA,NA,July_6,14:38,14:43,Very fast,Glass,1,Y,1,Y,Clear with brown tinge,
Hoyo Hoyo,HOY_4B,,July_6,8:53,NW_SE,None,NA,,,NA,NA,NA,NA,NA,NA,July_6,15:17,15:29,Very fast,Glass,1,Y,1,Y,Clear with brown tinge,
Nhlanguleni,NHL_4A,,July_6,12:09,N_S,N_S,W,,,NA,NA,NA,NA,NA,NA,July_6,14:34,14:43,Very fast,Polysulfone,1,Y,1,Y,Clear slightly cloudy,
Nhlanguleni,NHL_4B,,July_6,12:13,N_S,N_S,W,,,NA,NA,NA,NA,NA,NA,July_6,15:07,15:17,Very fast,Polysulfone,1,Y,1,Y,Clear slightly cloudy,
Orpen,ORP_2A,,July_6,10:18,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,19:19,19:33,Fast,Polysulfone,2,Y,2,Y,Clear,Filter came out tan yellow
Orpen,ORP_2A_S,,July_6,10:18,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,,,,,1,N,NA,Y,,50mL only
Orpen,ORP_2A_XS,,July_6,10:18,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,,,,,1,N,NA,Y,,15mL only
Orpen,ORP_2B,,July_6,10:22,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,19:21,19:34,Fast,Polysulfone,2,Y,2,Y,Clear,Filter came out tan yellow
Orpen,ORP_2B_S,,July_6,10:22,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,,,,,1,N,NA,Y,,50mL only
Orpen,ORP_2B_XS,,July_6,10:22,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,,,,,1,N,NA,Y,,15mL only
Orpen,ORP_2C,,July_6,10:26,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,19:22,19:35,Fast,Polysulfone,2,Y,2,Y,Clear,Filter came out tan yellow
Orpen,ORP_2C_S,,July_6,10:26,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,,,,,1,N,NA,Y,,50mL only
Orpen,ORP_2C_XS,,July_6,10:26,N_S,None,W,,,NA,NA,NA,NA,NA,NA,July_6,,,,,1,N,NA,Y,,15mL only
Ngotso North,NGO_4A,,July_8,8:29,,N_S,,Scum at S end but mild wind,,,,,,,,,16:05,16:07,Very fast,Glass,1,Y,1,Y,Clear,Filter came out brown
Ngotso North,NGO_4B,,July_8,8:32,,N_S,,Scum at S end but mild wind,,,,,,,,,16:35,16:38,Very fasr,Glass,1,Y,1,Y,Clear,Filter came out brown
Nyamahri,NYA_4A,,July_8,8:53,,N_S,,Scum at south end,,,,,,,,,16:03,16:30,Fast,Polysulfone,1,Y,2,Y,Cloudy grey,
Nyamahri,NYA_4A_S,,July_8,8:53,,N_S,,Scum at south end,,,,,,,,,,,,,1,N,NA,Y,Cloudy grey,50mL only
Nyamahri,NYA_4A_XS,,July_8,8:53,,,,Scum at south end,,,,,,,,,,,,,1,N,NA,Y,Cloudy grey,15mL only
Nyamahri,NYA_4B,,July_8,8:55,,,,Scum at south end,,,,,,,,,17:08,17:20,Fast,Polysulfone,1,Y,1,Y,Cloudy grey,
Nyamahri,NYA_4B_S,,July_8,8:55,,,,Scum at south end,,,,,,,,,,,,,1,N,NA,Y,Cloudy grey,50mL only
Nyamahri,NYA_4B_XS,,July_8,8:55,,,,Scum at south end,,,,,,,,,,,,,1,N,NA,Y,Cloudy grey,15mL only
Witpens,WIT_4A,,July_8,9:38,,,,,,,,,,,,,16:00,16:58,Slow,,2,Y,2,Y,Pale green,
Witpens,WIT_4B,,July_8,9:42,,,,,,,,,,,,,17:10,17:58,Slow,,2,Y,2,Y,Pale green,
Satara West,SAT_2A,,July_8,10:09,,,,No visible scum - water level slightly low,,,,,,,,,20:36,21:25,Slow,Glass,1,Y,1,Y,Clear,Filter came out brown
Satara West,SAT_2A_S,,July_8,10:09,,,,No visible scum - water level slightly low,,,,,,,,,,,,,1,N,NA,Y,Clear,50mL only
Satara West,SAT_2A_XS,,July_8,10:09,,,,No visible scum - water level slightly low,,,,,,,,,,,,,1,N,NA,Y,Clear,15mL only
Satara West,SAT_2B,,July_8,10:11,,,,No visible scum - water level slightly low,,,,,,,,,21:26,21:34,Fast,Polysulfone,1,Y,1,Y,Clear,Filter came out brown
Satara West,SAT_2B_S,,July_8,10:11,,,,No visible scum - water level slightly low,,,,,,,,,,,,,1,N,NA,Y,Clear,50mL only
Satara West,SAT_2B_XS,,July_8,10:11,,,,No visible scum - water level slightly low,,,,,,,,,,,,,1,N,NA,Y,Clear,15mL only
Satara West,SAT_2C,,July_8,10:15,,,,No visible scum - water level slightly low,,,,,,,,,21:24,22:00,Medium,Polysulfone,1,Y,,Y,Clear,Filter came out brown
Satara West,SAT_2C_S,,July_8,10:15,,,,No visible scum - water level slightly low,,,,,,,,,,,,,1,N,NA,Y,Clear,50mL only
Satara West,SAT_2C_XS,,July_8,10:15,,,,No visible scum - water level slightly low,,,,,,,,,,,,,1,N,NA,Y,Clear,15mL only
Girivana,GIR_3A,,July_8,11:11,,,,,,,,,,,,,20:35,21:00,Medium,Polysulfone,2,Y,2,Y,Cloudy grey-brown,
Girivana,GIR_3B,,July_8,11:15,,,,,,,,,,,,,20:35,21:00,Medium,Polysulfone,2,Y,2,Y,Cloudy grey-brown,
De Laporte,DLP_8A,,July_10,7:48,,,,Water level low - scum and bubbles/saliva? Dispersed throughout,,,,,,,,,10:47,11:20,Medium,Glass,1,Y,1,Y,Clear,Filter came out brown
De Laporte,DLP_8A_S,,July_10,7:48,,,,Water level low - scum and bubbles/saliva? Dispersed throughout,,,,,,,,,,,,,1,N,NA,Y,Clear,50mL only
De Laporte,DLP_8A_XS,,July_10,7:48,,,,Water level low - scum and bubbles/saliva? Dispersed throughout,,,,,,,,,,,,,1,N,NA,Y,Clear,15mL only
De Laporte,DLP_8B,,July_10,7:52,,,,Water level low - scum and bubbles/saliva? Dispersed throughout,,,,,,,,,12:21,,,,,,,,,
De Laporte,DLP_8B_S,,July_10,7:52,,,,Water level low - scum and bubbles/saliva? Dispersed throughout,,,,,,,,,,,,,,,,,,
De Laporte,DLP_8B_XS,,July_10,7:52,,,,Water level low - scum and bubbles/saliva? Dispersed throughout,,,,,,,,,,,,,,,,,,
Kwaggas Pan,KWA_7A,,July_10,8:06,,,E,Pan full again. No wind. Scum is all over,,,,,,,,,10:43,11:20,Medium,Polysulfone,2,Y,2,Y,Pale green cloudy,Faster than previous times - maybe since it was drained by buffalo the previous week
Kwaggas Pan,KWA_7B,,July_10,8:09,,,E,Pan full again. No wind. Scum is all over,,,,,,,,,10:44,11:20,Medium,Polysulfone,2,Y,2,Y,Pale green cloudy,Faster than previous times - maybe since it was drained by buffalo the previous week
Nwaswitshaka,NWA_8A,,July_10,9:09,,N_S,,Mild wind. Scum at North end,,,,,,,,,11:59,,,Polysulfone,,,,,,
Nwaswitshaka,NWA_8B,,July_10,9:11,,N_S,,Mild wind. Scum at North end,,,,,,,,,11:59,,,Polysulfone,,,,,,
